row_index,event_time,release_time(utc+8),indicator,indicator_key,actual,forecast,previous,updated_at,lookback_days,has_kline_context,15min_sample_size,1h_sample_size,4h_sample_size,1d_sample_size,feature_vector,15min_close_ma20_ratio,15min_close_ma50_ratio,15min_close_ma99_ratio,15min_close_ma200_ratio,15min_bollinger_position,15min_ret_5,15min_ret_10,15min_ma20_slope,15min_ma50_slope,15min_adx14,15min_volatility_10,15min_rsi14,15min_macd_histogram,15min_short_trend_label,15min_long_trend_label,1h_close_ma20_ratio,1h_close_ma50_ratio,1h_close_ma99_ratio,1h_close_ma200_ratio,1h_bollinger_position,1h_ret_5,1h_ret_10,1h_ma20_slope,1h_ma50_slope,1h_adx14,1h_volatility_10,1h_rsi14,1h_macd_histogram,1h_short_trend_label,1h_long_trend_label,4h_close_ma20_ratio,4h_close_ma50_ratio,4h_close_ma99_ratio,4h_close_ma200_ratio,4h_bollinger_position,4h_ret_5,4h_ret_10,4h_ma20_slope,4h_ma50_slope,4h_adx14,4h_volatility_10,4h_rsi14,4h_macd_histogram,4h_short_trend_label,4h_long_trend_label,1d_close_ma20_ratio,1d_close_ma50_ratio,1d_close_ma99_ratio,1d_close_ma200_ratio,1d_bollinger_position,1d_ret_5,1d_ret_10,1d_ma20_slope,1d_ma50_slope,1d_adx14,1d_volatility_10,1d_rsi14,1d_macd_histogram,1d_short_trend_label,1d_long_trend_label
10,2025-04-10T20:30:00+08:00,2025-04-10 20:30,CPI_MOM,CPI,-0.1%,0.1%,0.2%,2026-03-19 20:55:27+08:00,60,1,2024,507,128,1,"[1.0034521817019684,1.0004859821688405,1.0123223719578784,1.0359775923252252,0.9280359092618913,0.005793232395480796,-0.00017805811768167867,-0.00011213715310811065,-0.0002614189151406859,18.4000188158565,0.002546018927423644,54.55780868679065,29.191603469761986,0.0,0.0,0.9976742138446677,1.0347691920098412,1.035980369632589,1.0076339043511986,0.40047321954670834,0.0051445841481581045,-0.0020559951308580793,0.0027187170261870363,0.0007014903859139474,27.41797499149251,0.00365186580480026,59.98652897585677,-183.40525704555375,1.0,0.0,1.0368848037451808,1.0094457141219144,0.9878578064320693,1.0,0.8200955087890036,-0.003684785554473935,0.074486978016433,0.0025364191730808464,-0.0007361737836849255,22.408966356078402,0.024172247662175243,56.795017275396866,679.6519193527207,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0034521817019684,1.0004859821688405,1.0123223719578784,1.0359775923252252,0.9280359092618913,0.005793232395480796,-0.00017805811768167867,-0.00011213715310811065,-0.0002614189151406859,18.4000188158565,0.002546018927423644,54.55780868679065,29.191603469761986,0.0,0.0,0.9976742138446677,1.0347691920098412,1.035980369632589,1.0076339043511986,0.40047321954670834,0.0051445841481581045,-0.0020559951308580793,0.0027187170261870363,0.0007014903859139474,27.41797499149251,0.00365186580480026,59.98652897585677,-183.40525704555375,1.0,0.0,1.0368848037451808,1.0094457141219144,0.9878578064320693,1.0,0.8200955087890036,-0.003684785554473935,0.074486978016433,0.0025364191730808464,-0.0007361737836849255,22.408966356078402,0.024172247662175243,56.795017275396866,679.6519193527207,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
27,2026-03-11T20:30:00+08:00,2026-03-11 20:30,CPI_YoY,CPI,2.4%,2.4%,2.4%,2026-03-19 20:55:27+08:00,60,1,5731,1433,358,1,"[0.998778900195582,0.9958871594995711,0.9912840286104975,0.9967586413704133,0.34785361459765984,-0.002516791787583239,-0.0005487090934489514,-0.00042760441144521676,-0.00017006437614272977,16.701056921753985,0.002095103818059315,45.30306071284622,-19.613138420807488,0.0,0.0,0.9943000566082908,0.9960907683076475,1.0133531961715856,1.002425694070187,0.2209879227202371,-0.0032245508250972055,-0.00547010359805844,-0.0011843039006995484,0.0004748962379135183,15.593288764157503,0.005266246214986548,45.961269123514484,-102.34241543120248,0.0,0.0,1.008904251384602,1.0020493339520264,1.023690723555161,1.0195458173254637,0.6127881147927304,-0.008639703781584518,0.014731664378323739,0.001660380907963642,0.00024849372626118365,14.844429441796592,0.009675777806270578,52.46589873484299,57.60994722226968,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.998778900195582,0.9958871594995711,0.9912840286104975,0.9967586413704133,0.34785361459765984,-0.002516791787583239,-0.0005487090934489514,-0.00042760441144521676,-0.00017006437614272977,16.701056921753985,0.002095103818059315,45.30306071284622,-19.613138420807488,0.0,0.0,0.9943000566082908,0.9960907683076475,1.0133531961715856,1.002425694070187,0.2209879227202371,-0.0032245508250972055,-0.00547010359805844,-0.0011843039006995484,0.0004748962379135183,15.593288764157503,0.005266246214986548,45.961269123514484,-102.34241543120248,0.0,0.0,1.008904251384602,1.0020493339520264,1.023690723555161,1.0195458173254637,0.6127881147927304,-0.008639703781584518,0.014731664378323739,0.001660380907963642,0.00024849372626118365,14.844429441796592,0.009675777806270578,52.46589873484299,57.60994722226968,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
28,2026-02-13T21:30:00+08:00,2026-02-13 21:30,CPI_YoY,CPI,2.4%,2.5%,2.7%,2026-03-19 20:55:27+08:00,60,1,5731,1433,358,1,"[1.0058549731402957,1.0108026165427373,1.0124798157454866,1.0063767468929674,1.0,0.005275641829924682,0.005428823256995008,0.0006330084423045041,0.000313367674765809,28.052583725670562,0.002245767196329412,66.55924844295166,9.138605085968265,0.0,0.0,1.0139693019311358,1.006562282850905,0.9911210902785147,0.9835475820830881,0.9503221796723801,0.009550638484258078,0.011690394695504036,0.00047715874539559734,8.753339745774983e-05,13.354145588151784,0.0033042014366881207,58.32311725820767,156.30879173070764,0.0,0.0,0.9986450516936186,0.9852229728940423,0.9054697940778239,0.8099819725864698,0.47591811909741,0.023350723086303482,0.003860174572964281,-0.002284389575496828,-0.0016014440599365508,18.794094378813323,0.010731040701983852,46.71499294827656,88.00694868123367,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0058549731402957,1.0108026165427373,1.0124798157454866,1.0063767468929674,1.0,0.005275641829924682,0.005428823256995008,0.0006330084423045041,0.000313367674765809,28.052583725670562,0.002245767196329412,66.55924844295166,9.138605085968265,0.0,0.0,1.0139693019311358,1.006562282850905,0.9911210902785147,0.9835475820830881,0.9503221796723801,0.009550638484258078,0.011690394695504036,0.00047715874539559734,8.753339745774983e-05,13.354145588151784,0.0033042014366881207,58.32311725820767,156.30879173070764,0.0,0.0,0.9986450516936186,0.9852229728940423,0.9054697940778239,0.8099819725864698,0.47591811909741,0.023350723086303482,0.003860174572964281,-0.002284389575496828,-0.0016014440599365508,18.794094378813323,0.010731040701983852,46.71499294827656,88.00694868123367,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
29,2026-01-13T21:30:00+08:00,2026-01-13 21:30,CPI_YoY,CPI,2.7%,2.7%,2.7%,2026-03-19 20:55:27+08:00,60,1,5730,1432,358,1,"[0.9998563287562797,1.0034668363551615,1.0059553490690545,1.0085413477419782,0.4767270088027797,0.0015767416470751083,0.0009432732014780232,7.14285442899681e-05,0.00016241235402426652,18.80444357898895,0.0011250188755727657,53.7434257110458,-32.64002482586088,0.0,0.0,1.0050039719822088,1.008668675576069,1.0124338446661485,1.006053361740173,0.7919612632288577,0.002153219111533433,0.011149265790767915,0.0004590543218007765,0.0003085006050141361,19.345252729701514,0.002038774410057403,59.12300748043425,53.21728660315054,0.0,0.0,1.0106372414822242,1.0057222133462171,1.0196566667946654,1.0316258056244512,0.9481873630717137,0.0031322424939446147,0.012488636451077229,0.0007181248961045474,-3.4178927855620567e-05,15.439712289624685,0.006015973235043494,59.24700401199985,136.78416109942907,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.9998563287562797,1.0034668363551615,1.0059553490690545,1.0085413477419782,0.4767270088027797,0.0015767416470751083,0.0009432732014780232,7.14285442899681e-05,0.00016241235402426652,18.80444357898895,0.0011250188755727657,53.7434257110458,-32.64002482586088,0.0,0.0,1.0050039719822088,1.008668675576069,1.0124338446661485,1.006053361740173,0.7919612632288577,0.002153219111533433,0.011149265790767915,0.0004590543218007765,0.0003085006050141361,19.345252729701514,0.002038774410057403,59.12300748043425,53.21728660315054,0.0,0.0,1.0106372414822242,1.0057222133462171,1.0196566667946654,1.0316258056244512,0.9481873630717137,0.0031322424939446147,0.012488636451077229,0.0007181248961045474,-3.4178927855620567e-05,15.439712289624685,0.006015973235043494,59.24700401199985,136.78416109942907,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
30,2025-12-18T21:30:00+08:00,2025-12-18 21:30,CPI_YoY,CPI,2.7%,3.1%,,2026-03-19 20:55:27+08:00,60,1,5731,1433,358,1,"[1.0042708190965055,1.0090429731830988,1.0098936631416708,1.0072553177514443,0.9064956706140368,0.005356923539587166,0.003179475432367518,0.0004189468523346722,0.0003060828353088763,26.517320417712583,0.002896508672570008,61.37119793741533,26.234158988762715,0.0,0.0,1.011538308515858,1.0069800263447632,1.0018726593058511,0.9816980808106038,0.9752549459357768,0.007392037945871621,0.011506942968800615,-7.567400826770471e-05,0.00015106838806143428,25.38866503386763,0.0021582420415413492,60.08895985578017,134.43041207642142,0.0,0.0,1.006631086720731,0.9828117129590512,0.9727600625574035,0.9746985027418419,0.669102211544741,0.01854100091635158,-0.0026622212809177537,-0.0010456194286617374,-0.0013189427533238864,21.198189177547736,0.005728882015835456,49.210637848569625,167.37738358449758,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0042708190965055,1.0090429731830988,1.0098936631416708,1.0072553177514443,0.9064956706140368,0.005356923539587166,0.003179475432367518,0.0004189468523346722,0.0003060828353088763,26.517320417712583,0.002896508672570008,61.37119793741533,26.234158988762715,0.0,0.0,1.011538308515858,1.0069800263447632,1.0018726593058511,0.9816980808106038,0.9752549459357768,0.007392037945871621,0.011506942968800615,-7.567400826770471e-05,0.00015106838806143428,25.38866503386763,0.0021582420415413492,60.08895985578017,134.43041207642142,0.0,0.0,1.006631086720731,0.9828117129590512,0.9727600625574035,0.9746985027418419,0.669102211544741,0.01854100091635158,-0.0026622212809177537,-0.0010456194286617374,-0.0013189427533238864,21.198189177547736,0.005728882015835456,49.210637848569625,167.37738358449758,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
31,2025-10-24T20:30:00+08:00,2025-10-24 20:30,CPI_YoY,CPI,3.0%,3.1%,2.9%,2026-03-19 20:55:27+08:00,60,1,5731,1432,358,1,"[0.9988099438999273,1.0008153187928952,1.005593547134154,1.0149445566354591,0.2861803161930668,-0.0020650341863891475,-0.002898160005391892,-9.788706529655588e-05,0.0001814429329610714,16.10154308477235,0.0010679790803449875,47.799287614939736,-42.139954696512504,0.0,0.0,1.0029245299178249,1.0141309465840034,1.0127993917751734,1.0205394146132387,0.6422882088274486,-0.00031714511731661954,0.00407312254931691,0.0005993593774934658,0.0005393270027602233,30.364561633685643,0.0025716348063717837,58.575768656434455,-22.951133101954724,0.0,0.0,1.013438992945522,1.0204551243650195,0.9904410857137431,0.9736317650340267,0.739326584682869,0.007450896359357362,0.03177865230393828,0.0005804336994610265,-1.2925488998129006e-05,16.79220960076377,0.0032391356427055847,58.48828248428072,262.1041677589852,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.9988099438999273,1.0008153187928952,1.005593547134154,1.0149445566354591,0.2861803161930668,-0.0020650341863891475,-0.002898160005391892,-9.788706529655588e-05,0.0001814429329610714,16.10154308477235,0.0010679790803449875,47.799287614939736,-42.139954696512504,0.0,0.0,1.0029245299178249,1.0141309465840034,1.0127993917751734,1.0205394146132387,0.6422882088274486,-0.00031714511731661954,0.00407312254931691,0.0005993593774934658,0.0005393270027602233,30.364561633685643,0.0025716348063717837,58.575768656434455,-22.951133101954724,0.0,0.0,1.013438992945522,1.0204551243650195,0.9904410857137431,0.9736317650340267,0.739326584682869,0.007450896359357362,0.03177865230393828,0.0005804336994610265,-1.2925488998129006e-05,16.79220960076377,0.0032391356427055847,58.48828248428072,262.1041677589852,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
32,2025-09-11T20:30:00+08:00,2025-09-11 20:30,CPI_YoY,CPI,2.9%,2.9%,2.7%,2026-03-19 20:55:27+08:00,60,1,5731,1432,358,1,"[1.0029370942922522,1.0029213657304095,1.0048152771911283,1.0142618006132431,1.0,0.002865316947731511,0.004373390392067966,-5.495978270110211e-05,5.597284534628281e-05,17.36372634168637,0.0008231770524550462,63.68078970370052,30.92505085977008,0.0,0.0,1.0038758507436414,1.0142291258153957,1.0191068642170236,1.0247193543040776,0.9416110517258747,0.0006598401506605622,0.004421914212755951,0.00011862618551006248,0.00019252396349185604,36.28551106432631,0.0022856324557235254,65.31007209613027,-51.4091311578166,1.0,0.0,1.0148718526307252,1.0239518524711988,1.0313405991180722,1.0053441794969848,0.8863740706206523,0.007255875083023611,0.025601123676128656,0.0013436020928040274,0.0005826949642994357,21.179436377882567,0.0050967736118443475,64.61724882290163,186.2123013654534,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0029370942922522,1.0029213657304095,1.0048152771911283,1.0142618006132431,1.0,0.002865316947731511,0.004373390392067966,-5.495978270110211e-05,5.597284534628281e-05,17.36372634168637,0.0008231770524550462,63.68078970370052,30.92505085977008,0.0,0.0,1.0038758507436414,1.0142291258153957,1.0191068642170236,1.0247193543040776,0.9416110517258747,0.0006598401506605622,0.004421914212755951,0.00011862618551006248,0.00019252396349185604,36.28551106432631,0.0022856324557235254,65.31007209613027,-51.4091311578166,1.0,0.0,1.0148718526307252,1.0239518524711988,1.0313405991180722,1.0053441794969848,0.8863740706206523,0.007255875083023611,0.025601123676128656,0.0013436020928040274,0.0005826949642994357,21.179436377882567,0.0050967736118443475,64.61724882290163,186.2123013654534,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
33,2025-08-12T20:30:00+08:00,2025-08-12 20:30,CPI_YoY,CPI,2.7%,2.8%,2.7%,2026-03-19 20:55:27+08:00,60,1,5731,1433,358,1,"[0.9990260763615015,0.9973309807832974,0.9942120120617594,0.9913780866348852,0.38106294961829795,0.0018670147474708632,0.0006987860388125711,-0.00022941256136690423,-5.147719021857114e-05,22.66313745390478,0.0014048409848750401,46.14359284869019,1.9221459598866346,0.0,0.0,0.9965534444981207,0.9911566957350441,1.0017944833470371,1.0160421880035457,0.19071352644317202,-0.004156397598152117,-0.0049019360714939175,-0.0007158635208114492,5.258292200406767e-05,28.766936243769436,0.0015657740137703547,39.30465828437467,-44.68470977175576,0.0,0.0,0.9975698140428884,1.0150312922871496,1.016143568039967,1.0102758512152075,0.44945921805378103,-0.005169421619505621,-0.0067854803635359895,0.0009108122343365691,0.0007358742889793976,29.16466778865628,0.007919093526016208,51.47064114913725,-245.44562293316983,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.9990260763615015,0.9973309807832974,0.9942120120617594,0.9913780866348852,0.38106294961829795,0.0018670147474708632,0.0006987860388125711,-0.00022941256136690423,-5.147719021857114e-05,22.66313745390478,0.0014048409848750401,46.14359284869019,1.9221459598866346,0.0,0.0,0.9965534444981207,0.9911566957350441,1.0017944833470371,1.0160421880035457,0.19071352644317202,-0.004156397598152117,-0.0049019360714939175,-0.0007158635208114492,5.258292200406767e-05,28.766936243769436,0.0015657740137703547,39.30465828437467,-44.68470977175576,0.0,0.0,0.9975698140428884,1.0150312922871496,1.016143568039967,1.0102758512152075,0.44945921805378103,-0.005169421619505621,-0.0067854803635359895,0.0009108122343365691,0.0007358742889793976,29.16466778865628,0.007919093526016208,51.47064114913725,-245.44562293316983,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
34,2025-07-15T20:30:00+08:00,2025-07-15 20:30,CPI_YoY,CPI,2.7%,2.7%,2.4%,2026-03-19 20:55:27+08:00,60,1,5731,1432,358,1,"[1.0002643829908475,0.994903920253413,0.982682809584434,0.9794056707205308,0.5450217698481664,0.0008466893078293847,0.0011595305014755475,-1.9358139702086006e-05,-0.0004960307514829177,40.6439497572182,0.0019790635216641607,45.903928174764985,68.45016702790366,0.0,-1.0,0.9879814692838454,0.9797202004761347,0.9866754095516349,1.0223595792854625,0.24089607650595027,0.0011115202479941022,-0.011527004712095446,-0.0017860719448683567,-0.00014312301313359793,36.914158498711686,0.003124214745779036,31.30485716575832,-141.1988027569273,0.0,0.0,0.9854906532828693,1.0204619793007184,1.0501277707711432,1.0800797139309652,0.2349216599345204,-0.025131628761030256,-0.017820191736559132,-0.00030975398180612676,0.0013860751196843218,39.95598859435736,0.011089081357281339,46.99561038296878,-654.317100972708,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0002643829908475,0.994903920253413,0.982682809584434,0.9794056707205308,0.5450217698481664,0.0008466893078293847,0.0011595305014755475,-1.9358139702086006e-05,-0.0004960307514829177,40.6439497572182,0.0019790635216641607,45.903928174764985,68.45016702790366,0.0,-1.0,0.9879814692838454,0.9797202004761347,0.9866754095516349,1.0223595792854625,0.24089607650595027,0.0011115202479941022,-0.011527004712095446,-0.0017860719448683567,-0.00014312301313359793,36.914158498711686,0.003124214745779036,31.30485716575832,-141.1988027569273,0.0,0.0,0.9854906532828693,1.0204619793007184,1.0501277707711432,1.0800797139309652,0.2349216599345204,-0.025131628761030256,-0.017820191736559132,-0.00030975398180612676,0.0013860751196843218,39.95598859435736,0.011089081357281339,46.99561038296878,-654.317100972708,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
35,2025-06-11T20:30:00+08:00,2025-06-11 20:30,CPI_YoY,CPI,2.4%,2.5%,2.3%,2026-03-19 20:55:27+08:00,60,1,5732,1433,358,1,"[0.999075039754817,0.9975775044524494,0.9983497711432491,1.00086709088774,0.2909667608884041,-0.00023245278874706177,0.0001995929402696106,-0.00013668176136430498,-0.00012207903348123697,8.401889278815398,0.0005958619918085093,43.04122608124597,1.8939837437457925,0.0,0.0,0.9976079858243437,1.000766633222919,1.0169691703120118,1.031001049346781,0.29150536285354794,-0.0015117517217425602,-0.0036172698642018553,0.00018425924268650047,0.0005495673550670394,21.64728325193066,0.001227883817321661,48.71222552857981,-92.17459370382085,0.0,1.0,1.0101048767399765,1.029831740821102,1.0278391889997063,1.0326745133277435,0.6615962621174047,-0.00211189190621075,-0.00892604419929599,0.0017920413213921085,0.00077383803677463,30.84212489129023,0.004182545888318829,61.36193262688592,-16.04982053716276,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.999075039754817,0.9975775044524494,0.9983497711432491,1.00086709088774,0.2909667608884041,-0.00023245278874706177,0.0001995929402696106,-0.00013668176136430498,-0.00012207903348123697,8.401889278815398,0.0005958619918085093,43.04122608124597,1.8939837437457925,0.0,0.0,0.9976079858243437,1.000766633222919,1.0169691703120118,1.031001049346781,0.29150536285354794,-0.0015117517217425602,-0.0036172698642018553,0.00018425924268650047,0.0005495673550670394,21.64728325193066,0.001227883817321661,48.71222552857981,-92.17459370382085,0.0,1.0,1.0101048767399765,1.029831740821102,1.0278391889997063,1.0326745133277435,0.6615962621174047,-0.00211189190621075,-0.00892604419929599,0.0017920413213921085,0.00077383803677463,30.84212489129023,0.004182545888318829,61.36193262688592,-16.04982053716276,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
36,2025-05-13T20:30:00+08:00,2025-05-13 20:30,CPI_YoY,CPI,2.3%,2.4%,2.4%,2026-03-19 20:55:27+08:00,60,1,5176,1295,325,1,"[1.0034020958554613,1.0084276904880982,1.0076090895686447,1.0002583827677896,0.7285210809949751,-0.00010240002473060894,0.002024281699467334,0.0005218989926329469,0.00013491623566349215,30.88731817077476,0.0013542869102163323,61.0273850725468,18.724593427856348,0.0,0.0,1.0088740072269904,1.000480342690205,1.0005667895794614,1.0325486457429445,0.8972035662001008,0.008600461497684675,0.014405827014429384,0.00026259185731792364,-9.335045608968889e-05,16.13683936687972,0.003947039817602171,56.031611770708295,202.86603708795275,0.0,0.0,1.0002739265199478,1.0303091355437093,1.057461104307779,1.120799124307262,0.5083215564348867,0.01652385278302937,-0.0053277262794134694,-0.00013791999751045365,0.0016737742949591535,40.7568733705139,0.007795724084130642,55.42023793972326,-283.6897932592385,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0034020958554613,1.0084276904880982,1.0076090895686447,1.0002583827677896,0.7285210809949751,-0.00010240002473060894,0.002024281699467334,0.0005218989926329469,0.00013491623566349215,30.88731817077476,0.0013542869102163323,61.0273850725468,18.724593427856348,0.0,0.0,1.0088740072269904,1.000480342690205,1.0005667895794614,1.0325486457429445,0.8972035662001008,0.008600461497684675,0.014405827014429384,0.00026259185731792364,-9.335045608968889e-05,16.13683936687972,0.003947039817602171,56.031611770708295,202.86603708795275,0.0,0.0,1.0002739265199478,1.0303091355437093,1.057461104307779,1.120799124307262,0.5083215564348867,0.01652385278302937,-0.0053277262794134694,-0.00013791999751045365,0.0016737742949591535,40.7568733705139,0.007795724084130642,55.42023793972326,-283.6897932592385,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
37,2025-04-10T20:30:00+08:00,2025-04-10 20:30,CPI_YoY,CPI,2.4%,2.6%,2.8%,2026-03-19 20:55:27+08:00,60,1,2024,507,128,1,"[1.0034521817019684,1.0004859821688405,1.0123223719578784,1.0359775923252252,0.9280359092618913,0.005793232395480796,-0.00017805811768167867,-0.00011213715310811065,-0.0002614189151406859,18.4000188158565,0.002546018927423644,54.55780868679065,29.191603469761986,0.0,0.0,0.9976742138446677,1.0347691920098412,1.035980369632589,1.0076339043511986,0.40047321954670834,0.0051445841481581045,-0.0020559951308580793,0.0027187170261870363,0.0007014903859139474,27.41797499149251,0.00365186580480026,59.98652897585677,-183.40525704555375,1.0,0.0,1.0368848037451808,1.0094457141219144,0.9878578064320693,1.0,0.8200955087890036,-0.003684785554473935,0.074486978016433,0.0025364191730808464,-0.0007361737836849255,22.408966356078402,0.024172247662175243,56.795017275396866,679.6519193527207,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",1.0034521817019684,1.0004859821688405,1.0123223719578784,1.0359775923252252,0.9280359092618913,0.005793232395480796,-0.00017805811768167867,-0.00011213715310811065,-0.0002614189151406859,18.4000188158565,0.002546018927423644,54.55780868679065,29.191603469761986,0.0,0.0,0.9976742138446677,1.0347691920098412,1.035980369632589,1.0076339043511986,0.40047321954670834,0.0051445841481581045,-0.0020559951308580793,0.0027187170261870363,0.0007014903859139474,27.41797499149251,0.00365186580480026,59.98652897585677,-183.40525704555375,1.0,0.0,1.0368848037451808,1.0094457141219144,0.9878578064320693,1.0,0.8200955087890036,-0.003684785554473935,0.074486978016433,0.0025364191730808464,-0.0007361737836849255,22.408966356078402,0.024172247662175243,56.795017275396866,679.6519193527207,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
53,2026-03-18T20:30:00+08:00,2026-03-18 20:30,PPI,PPI,0.7%,0.3%,0.5%,2026-03-19 20:55:27+08:00,60,1,5731,1433,358,1,"[0.9868386623749082,0.9841714981829199,0.9825542786960125,0.981902345345865,0.0,-0.015183043481790337,-0.01817058579939934,-0.0007194755204652471,-0.00032107680443039925,26.66932994123203,0.002520192991959459,23.991656377685516,-143.09756222249675,0.0,0.0,0.9829895296757319,0.9823101792582608,0.9980713307219685,1.0149478898567115,0.0,-0.014354909254387094,-0.02026521371616863,-0.0003919374526030366,2.61700348350145e-05,15.294693210723004,0.004283350085388428,33.15915502284285,-145.78741802353542,0.0,0.0,0.9911397612973166,1.0146252894236856,1.034482675457265,1.0582912238494677,0.3296400904527219,-0.02258984980831602,-0.027373867216834324,0.001565538730685805,0.001191324525283523,40.43646804999018,0.006174078498275766,48.903987064720745,-218.04657981540322,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0]",0.9868386623749082,0.9841714981829199,0.9825542786960125,0.981902345345865,0.0,-0.015183043481790337,-0.01817058579939934,-0.0007194755204652471,-0.00032107680443039925,26.66932994123203,0.002520192991959459,23.991656377685516,-143.09756222249675,0.0,0.0,0.9829895296757319,0.9823101792582608,0.9980713307219685,1.0149478898567115,0.0,-0.014354909254387094,-0.02026521371616863,-0.0003919374526030366,2.61700348350145e-05,15.294693210723004,0.004283350085388428,33.15915502284285,-145.78741802353542,0.0,0.0,0.9911397612973166,1.0146252894236856,1.034482675457265,1.0582912238494677,0.3296400904527219,-0.02258984980831602,-0.027373867216834324,0.001565538730685805,0.001191324525283523,40.43646804999018,0.006174078498275766,48.903987064720745,-218.04657981540322,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
